                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
27/05/15  3:05a   16.8   16.8   16.8    87   14.7   0.0   ---   0.00   0.0   ---   16.8   17.1   17.1  1016.6  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:10a   16.8   16.8   16.8    87   14.6   0.0   ---   0.00   0.0   ---   16.8   17.0   17.0  1016.6  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0718    118    1    100.0    5 
27/05/15  3:15a   16.7   16.8   16.7    86   14.4   0.0    SE   0.00   1.7    SE   16.7   16.9   16.9  1016.6  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:20a   16.7   16.7   16.7    86   14.4   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:25a   16.7   16.7   16.7    86   14.4   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.6  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:30a   16.7   16.7   16.7    86   14.4   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.6  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    113    1     99.1    5 
27/05/15  3:35a   16.7   16.7   16.7    86   14.4   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.7  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:40a   16.7   16.7   16.7    86   14.4   0.0    SE   0.00   0.9    SE   16.7   16.9   16.9  1016.7  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:45a   16.7   16.7   16.7    85   14.1   0.0    SE   0.00   1.7    SE   16.7   16.8   16.8  1016.7  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:50a   16.6   16.7   16.6    84   13.9   0.0    SE   0.00   2.6    SE   16.6   16.8   16.8  1016.7  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:55a   16.6   16.6   16.6    84   13.8   0.0   ---   0.00   0.0   ---   16.6   16.7   16.7  1016.7  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:00a   16.6   16.6   16.6    84   13.8   0.0   ---   0.00   0.0   ---   16.6   16.7   16.7  1016.8  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:05a   16.5   16.6   16.5    84   13.8   0.0   ---   0.00   0.0   ---   16.5   16.6   16.6  1016.8  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:10a   16.5   16.6   16.5    83   13.6   0.0   ---   0.00   0.0   ---   16.5   16.6   16.6  1016.8  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:15a   16.5   16.5   16.5    83   13.6   0.0   ---   0.00   0.0   ---   16.5   16.6   16.6  1016.8  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:20a   16.4   16.5   16.4    83   13.5   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1016.9  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    118    1    100.0    5 
27/05/15  4:25a   16.4   16.4   16.4    83   13.5   0.0   ---   0.00   0.0   ---   16.4   16.5   16.5  1016.9  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:30a   16.4   16.4   16.4    83   13.5   0.0   ---   0.00   0.0   ---   16.4   16.5   16.5  1016.9  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    114    1    100.0    5 
27/05/15  4:35a   16.3   16.4   16.3    83   13.4   0.0   ---   0.00   0.0   ---   16.3   16.4   16.4  1016.9  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:40a   16.3   16.3   16.3    83   13.4   0.0   ---   0.00   0.0   ---   16.3   16.4   16.4  1017.0  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:45a   16.3   16.3   16.3    84   13.6   0.0    SE   0.00   1.7    SE   16.3   16.4   16.4  1016.9  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:50a   16.3   16.3   16.3    84   13.6   0.0   ---   0.00   0.0   ---   16.3   16.4   16.4  1017.0  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  4:55a   16.3   16.3   16.2    84   13.6   0.9    SE   0.07   2.6    SE   16.3   16.4   16.4  1017.0  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  5:00a   16.2   16.3   16.2    84   13.5   0.9   ESE   0.07   4.3    SE   16.2   16.3   16.3  1017.0  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  5:05a   16.2   16.2   16.2    84   13.5   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.0  0.00   0.0   0.007   0.000   25.9    87   23.6   28.7  18.83  .0719    117    1    100.0    5 
27/05/15  5:10a   16.2   16.2   16.2    84   13.5   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.1  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0718    117    1    100.0    5 
27/05/15  5:15a   16.2   16.2   16.2    84   13.5   0.0   ---   0.00   0.0   ---   16.2   16.3   16.3  1017.1  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0718    117    1    100.0    5 
27/05/15  5:20a   16.1   16.2   16.1    85   13.6   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.0  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0718    117    1    100.0    5 
27/05/15  5:25a   16.1   16.1   16.1    85   13.6   0.0   ---   0.00   0.0   ---   16.1   16.2   16.2  1017.1  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0718    117    1    100.0    5 
27/05/15  5:30a   16.1   16.1   16.1    85   13.6   0.0    SE   0.00   0.9    SE   16.1   16.2   16.2  1017.2  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0718    114    1    100.0    5 
27/05/15  5:35a   16.1   16.1   16.1    85   13.5   0.0    SE   0.00   0.9    SE   16.1   16.2   16.2  1017.3  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  5:40a   16.1   16.1   16.1    85   13.5   0.9    SE   0.07   2.6    SE   16.1   16.2   16.2  1017.3  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  5:45a   16.1   16.1   16.1    85   13.5   0.9    SE   0.07   2.6    SE   16.1   16.2   16.2  1017.4  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
27/05/15  5:50a   16.0   16.1   16.0    85   13.5   0.9    SE   0.07   2.6    SE   16.0   16.1   16.1  1017.3  0.00   0.0   0.008   0.000   26.1    87   23.7   28.8  18.82  .0719    117    1    100.0    5 
